CommentId,commentText,language,user_index,post_index,report_count_comment,report_count_post,like_count_comment,like_count_post,label,commentCleaned,translated_value
0,randi ka deewana,Assamese,2869,175913,0,1,0.0,65.0,1.0,randi ka deewana,randi ka deewana
6,good night di very nice ,Assamese,2080,546475,0,0,1.0,229.0,0.0,good night di very nice,good night di very nice
12,nice ,Assamese,2284,126397,0,0,0.0,74.0,0.0,nice,nice
18,iip dini abe sun ziddi ko bola na to tu accha na  hoga teri bhn ke sath teri maa ko bhi chhod duga cctv  bna h ,Assamese,2348,277341,0,121,0.0,30024.0,1.0,iip dini abe sun ziddi ko bola na to tu accha na hoga teri bhn ke sath teri maa ko bhi chhod duga cctv bna h,iip dini abe sun ziddi ko bola na to tu accha na hoga teri bhn ke sath teri maa ko bhi chhod duga cctv bna h
22,thank turtidkdu,Assamese,3045,357729,0,0,0.0,80.0,0.0,thank turtidkdu,thank turtidkdu
30,faltu larki,Assamese,213,837731,0,4,0.0,192.0,1.0,faltu larki,faltu larki
33,please follow me like my all video dii,Assamese,571,597384,0,0,1.0,56.0,0.0,please follow me like my all video dii,please follow me like my all video dii
43,i love rakhi mam call me e number is 8876129367 please call me i love name,Assamese,766,436542,0,0,0.0,418.0,0.0,i love rakhi mam call me e number is please call me i love name,i love rakhi mam call me e number is please call me i love name
50,gojendas885 hii,Assamese,51,181880,0,3,0.0,99.0,0.0,gojendas hii,gojendas hii
53,good night didi beautiful video ,Assamese,2080,874998,0,0,1.0,226.0,0.0,good night didi beautiful video,good night didi beautiful video
56,kapda nahi hai kya aap ke paas,Assamese,739,837731,0,4,0.0,192.0,1.0,kapda nahi hai kya aap ke paas,kapda nahi hai kya aap ke paas
60," ""https://youtube.com/channel/uc4ud_rf7dcn8zafag2jovggplease subscribe""",Assamese,2596,866112,0,2,0.0,304.0,0.0,subscribe,subscribe
63,padmobodo wow,Assamese,538,976125,0,0,0.0,63.0,0.0,padmobodo wow,padmobodo wow
66,savdamitus ,Assamese,2236,130995,0,6,0.0,2350.0,0.0,savdamitus,savdamitus
67,mene kya tha but mujhe chor dya,Assamese,2956,107817,0,0,1.0,70.0,0.0,mene kya tha but mujhe chor dya,mene kya tha but mujhe chor dya
70,nice ,Assamese,2284,958128,0,0,1.0,140.0,0.0,nice,nice
76,hio hfcj,Assamese,2720,1056557,0,1,1.0,408.0,0.0,hio hfcj,hio hfcj
82,mantri or uske bete ko jahan mile goli maro sale ko khopdi ud jaaye,Assamese,344,882826,0,0,0.0,161.0,1.0,mantri or uske bete ko jahan mile goli maro sale ko khopdi ud jaaye,mantri or uske bete ko jahan mile goli maro sale ko khopdi ud jaaye
84,firoj6155       ,Assamese,3109,318005,0,1,1.0,67.0,0.0,firoj,firoj
88,super super super ,Assamese,1513,512957,0,0,1.0,64.0,0.0,super super super,super super super
90,dh,Assamese,551,1033289,0,0,8.0,104.0,0.0,dh,dh
101,ppya cdi,Assamese,1351,837731,0,4,1.0,192.0,0.0,ppya cdi,ppya cdi
106,pqgal,Assamese,1173,520542,0,0,0.0,43.0,0.0,pqgal,pqgal
111,12399042101 aru moi tuk katiao massage nokoro baro,Assamese,500,664817,1,986,2.0,138.0,0.0,aru moi tuk katiao massage nokoro baro,aru moi tuk katiao massage nokoro baro
114,cs  shailesh  abe ruk to bosdi ki bhag mat ab kr babu sona girls ke sath,Assamese,2348,971901,0,235,0.0,32793.0,1.0,cs shailesh abe ruk to bosdi ki bhag mat ab kr babu sona girls ke sath,cs shailesh abe ruk to bosdi ki bhag mat ab kr babu sona girls ke sath
116,6our galaxy6our galaxy6our galaxy           ++++++++++++,Assamese,469,93825,0,0,2.0,33.0,0.0,our galaxyour galaxyour galaxy,our galaxyour galaxyour galaxy
117,ruful9233 oo,Assamese,2257,448762,0,0,0.0,80.0,0.0,ruful oo,ruful oo
119,ajaraliddm,Assamese,145,997676,0,1,0.0,105.0,0.0,ajaraliddm,ajaraliddm
126,hii very nice ,Assamese,1464,938070,0,0,1.0,231.0,0.0,hii very nice,hii very nice
129,"pagl , ",Assamese,1916,381804,0,3,0.0,399.0,1.0,pagl,pagl
137,puri chuchi kholo,Assamese,1153,638296,0,1,0.0,449.0,1.0,puri chuchi kholo,puri chuchi kholo
138,moja ka boobs ha,Assamese,1203,170834,0,0,0.0,58.0,1.0,moja ka boobs ha,moja ka boobs ha
142,good night didi very very nice song ,Assamese,2080,402343,0,0,1.0,73.0,0.0,good night didi very very nice song,good night didi very very nice song
145," ""randi ke bachhe najayaj hamrai.harami randi ki aulad kamjor pe julum karte jab khud pe hoga to amma ka bhosda bhi nahi milega""",Assamese,3084,424053,0,0,0.0,149.0,1.0,randi ke bachhe najayaj hamraiharami randi ki aulad kamjor pe julum karte jab khud pe hoga to amma ka bhosda bhi nahi milega,randi ke bachhe najayaj hamraiharami randi ki aulad kamjor pe julum karte jab khud pe hoga to amma ka bhosda bhi nahi milega
152,hole body,Assamese,1909,41775,0,0,1.0,108.0,0.0,hole body,hole body
168,dipanjali4265 mat dekho hume dekhne do agar report kiya mai v teri report karuga mama vidhayak hai hamare ,Assamese,1004,837731,0,4,0.0,192.0,0.0,dipanjali mat dekho hume dekhne do agar report kiya mai v teri report karuga mama vidhayak hai hamare,dipanjali mat dekho hume dekhne do agar report kiya mai v teri report karuga mama vidhayak hai hamare
170,aap neto kudrat ka karisma hi badal  so kuit love  you most wellcome  nice ,Assamese,1962,861000,0,0,2.0,292.0,0.0,aap neto kudrat ka karisma hi badal so kuit love you most wellcome nice,aap neto kudrat ka karisma hi badal so kuit love you most wellcome nice
173,nice ,Assamese,2284,735682,0,0,1.0,97.0,0.0,nice,nice
176,very very nice song ,Assamese,2080,518572,0,0,0.0,157.0,0.0,very very nice song,very very nice song
182,riyaz l love  u,Assamese,1113,1050585,0,0,0.0,27.0,0.0,riyaz l love u,riyaz l love u
183,randi bhi tumse acchi hai,Assamese,1024,351524,0,0,0.0,99.0,1.0,randi bhi tumse acchi hai,randi bhi tumse acchi hai
190,o bollo ii and e mail to look into it and you will send it out here you will send you a very like the baby girl like me ooi i will send you are all set for you and your smile on my way for you to meet with my dear friends we are all set to meet you and your smile isvery you can get the best way for me to meet you at time for a while and then we can i am very like video is pinned i will be a great time and i am like a great weekend too am not sure what the baby is important that we have been trying out free i have been working with oo ay ay ku soo excited about the flowers are blooming flower and i will,Assamese,778,290884,0,0,1.0,73.0,0.0,o bollo ii and e mail to look into it and you will send it out here you will send you a very like the baby girl like me ooi i will send you are all set for you and your smile on my way for you to meet with my dear friends we are all set to meet you and your smile isvery you can get the best way for me to meet you at time for a while and then we can i am very like video is pinned i will be a great time and i am like a great weekend too am not sure what the baby is important that we have been trying out free i have been working with oo ay ay ku soo excited about the flowers are blooming flower and i will,o bollo ii and e mail to look into it and you will send it out here you will send you a very like the baby girl like me ooi i will send you are all set for you and your smile on my way for you to meet with my dear friends we are all set to meet you and your smile isvery you can get the best way for me to meet you at time for a while and then we can i am very like video is pinned i will be a great time and i am like a great weekend too am not sure what the baby is important that we have been trying out free i have been working with oo ay ay ku soo excited about the flowers are blooming flower and i will
200,e name kanubo  ente chechide kuttiynaa orma varum.. ,Assamese,1922,164292,0,0,0.0,64.0,1.0,e name kanubo ente chechide kuttiynaa orma varum,e name kanubo ente chechide kuttiynaa orma varum
202,brack up boli,Assamese,1303,664817,0,986,0.0,138.0,0.0,brack up boli,brack up boli
210,app bohut sundor ho,Assamese,241,726546,0,0,0.0,113.0,0.0,app bohut sundor ho,app bohut sundor ho
