CommentId,commentText,language,user_index,post_index,report_count_comment,report_count_post,like_count_comment,like_count_post,label,commentCleaned,translated_value
382645,damini mein bahut achcha lagegi size bahut mast hai,Bhojpuri,2303.0,311406.0,0.0,0.0,0.0,88.0,1.0,damini mein bahut achcha lagegi size bahut mast hai,Size is very good in Damini
382646,jio ho chacha gaad maravale risavat se pet na bhart ba ka,Bhojpuri,34633.0,535124.0,0.0,0.0,2.0,54.0,0.0,jio ho chacha gaad maravale risavat se pet na bhart ba ka,Jiao Ho Chacha Gad Dealer Rivat
382647,samne to kya hai  usko to dekh shoo ka noot  rakh kar chutiya banate ho,Bhojpuri,32444.0,746634.0,0.0,1.0,0.0,243.0,1.0,samne to kya hai usko to dekh shoo ka noot rakh kar chutiya banate ho,What is the front of the front
382648,sarvan chauhan pankajgayase,Bhojpuri,30653.0,332718.0,0.0,0.0,0.0,51.0,0.0,sarvan chauhan pankajgayase,Sun Chauhan Pankajaga
382651,chutya lagraha rah,Bhojpuri,19117.0,156973.0,0.0,0.0,0.0,285.0,1.0,chutya lagraha rah,Run
382652,behenchod harami sale pagal bana raha hai,Bhojpuri,24815.0,36829.0,0.0,0.0,0.0,195.0,1.0,behenchod harami sale pagal bana raha hai,Sister-in-law is making cell nuts
382653,kya mal hai,Bhojpuri,5271.0,795292.0,0.0,0.0,0.0,129.0,1.0,kya mal hai,What is the goods
382654,oi ghatiya aurat thoda shram kr la nhi toh koutha mai jake rha,Bhojpuri,6775.0,578592.0,0.0,4.0,0.0,435.0,0.0,oi ghatiya aurat thoda shram kr la nhi toh koutha mai jake rha,Do not forget to go to Kutha
382655,woow super beautiful video ,Bhojpuri,14686.0,983756.0,0.0,1.0,1.0,187.0,0.0,woow super beautiful video,woow super beautiful video
382656,abe chutiya bana raha sale,Bhojpuri,2763.0,36829.0,0.0,0.0,0.0,195.0,1.0,abe chutiya bana raha sale,Abe luke making cell
382657,hiiiiii,Bhojpuri,7719.0,141428.0,0.0,0.0,0.0,68.0,0.0,hiiiiii,hiiiiii
382658,38887691801 xxx jio,Bhojpuri,25636.0,468396.0,0.0,0.0,0.0,55.0,1.0,xxx jio,xxx jio
382659,ka chij ba yar,Bhojpuri,6468.0,618138.0,0.0,2.0,0.0,72.0,1.0,ka chij ba yar,you Chij not a daughter
382660,"nice pic, like",Bhojpuri,1192.0,721309.0,0.0,0.0,0.0,32.0,0.0,nice pic like,nice pic like
382662,anwar1543 gkgigkv,Bhojpuri,27718.0,686122.0,0.0,1.0,0.0,243.0,0.0,anwar gkgigkv,Anwar Gkigkvv
382663,shock lga ,Bhojpuri,31160.0,738948.0,0.0,0.0,2.0,31.0,0.0,shock lga,Shock
382665,i love you  yadav hai,Bhojpuri,29898.0,686122.0,0.0,1.0,0.0,243.0,0.0,i love you yadav hai,I love you yadav hai
382666,hila ke hi sona hai tu kya gand  me le le bhosri ke,Bhojpuri,23280.0,88475.0,0.0,0.0,0.0,90.0,1.0,hila ke hi sona hai tu kya gand me le le bhosri ke,Hill's gold is what you take in the Gand
382667,58726949701 thnx,Bhojpuri,34790.0,782539.0,0.0,0.0,1.0,78.0,0.0,thnx,thnx
382668,apna didi ke bej ma madharchod,Bhojpuri,31165.0,1061280.0,0.0,1.0,0.0,138.0,1.0,apna didi ke bej ma madharchod,Your Didi's Beige Mother Madharchod
382669,mere  video  like. kare,Bhojpuri,26261.0,314620.0,0.0,0.0,1.0,35.0,0.0,mere video like kare,Like my video
382671,bestkanhaiya786 teri maa ki chut,Bhojpuri,5882.0,311674.0,0.0,0.0,0.0,75.0,1.0,bestkanhaiya teri maa ki chut,Bestkhaiya your mother's pussy
382672,hi baby kaisi ho,Bhojpuri,3256.0,326763.0,0.0,1.0,0.0,33.0,0.0,hi baby kaisi ho,How baby be
382673,saram to khalo mymy ap sutig my nahi pahuch jaogi,Bhojpuri,27491.0,201353.0,0.0,6.0,1.0,922.0,0.0,saram to khalo mymy ap sutig my nahi pahuch jaogi,Saram will not reach the meal
382675,harishankarkumar5025 sala. bhaisa. hai ser ka. bap,Bhojpuri,5664.0,860533.0,0.0,0.0,0.0,49.0,1.0,harishankarkumar sala bhaisa hai ser ka bap,Harishankar Kumar Sal Bhassa is the father's father
382676,panti mast ha chut ve mast ho ga,Bhojpuri,33232.0,570096.0,0.0,0.0,0.0,329.0,1.0,panti mast ha chut ve mast ho ga,Panti Mast is a discount
382677,md irfan ,Bhojpuri,19137.0,947972.0,0.0,0.0,1.0,169.0,0.0,md irfan,md irfan
382678,rohitrawattt2005  ha brother kuchh ladhkiyo ne to ek dam hi nak me dam kar diye h inko na to khud ki izzat ki parwah h or na ma bap ki or nhi kisi or ladhkiyo ko. bilkul besharm ho gai h,Bhojpuri,31080.0,509718.0,0.0,10.0,0.0,897.0,1.0,rohitrawattt ha brother kuchh ladhkiyo ne to ek dam hi nak me dam kar diye h inko na to khud ki izzat ki parwah h or na ma bap ki or nhi kisi or ladhkiyo ko bilkul besharm ho gai h,Rauhritrta Ha Baraother girls care about the honor of the dam in the same way
382679,chut dikha do rendi,Bhojpuri,22860.0,944739.0,0.0,4.0,0.0,622.0,1.0,chut dikha do rendi,Choot showing two rains
382680,madam ji aap to bahut khubsurat dikh rahi ho,Bhojpuri,8149.0,826999.0,0.0,0.0,0.0,31.0,0.0,madam ji aap to bahut khubsurat dikh rahi ho,Madam ji is looking very beautiful
382682,gand maraebu lo,Bhojpuri,20834.0,140800.0,0.0,3.0,0.0,448.0,1.0,gand maraebu lo,Take a gun
382683,woooooow  niccccccc duetttt,Bhojpuri,26363.0,679186.0,0.0,0.0,0.0,152.0,0.0,woooooow niccccccc duetttt,Wooooow Nicccc. NICCCCC DUKTTTT
382685,bhai itna bada gunda nhi ho nhi to ek din lalu ke tarah tumhara bhi gand marliya jayega  samjhe na,Bhojpuri,11819.0,70921.0,0.0,4.0,0.0,492.0,1.0,bhai itna bada gunda nhi ho nhi to ek din lalu ke tarah tumhara bhi gand marliya jayega samjhe na,"Brother is not such a big punk, otherwise you will not be able to understand it like Lalu."
382686,kuch bhi kaho tumhara chuchiya tumhara gana bahut achcha tha sundar sundar hai,Bhojpuri,23163.0,431195.0,0.0,0.0,0.0,33.0,1.0,kuch bhi kaho tumhara chuchiya tumhara gana bahut achcha tha sundar sundar hai,"Say anything, your song was very good! Beautiful beautiful"
382687,super.... hiooo,Bhojpuri,32676.0,928655.0,0.0,0.0,1.0,80.0,0.0,super hiooo,super hiooo
382688,  viedo  super  h,Bhojpuri,11020.0,102935.0,0.0,0.0,0.0,414.0,1.0,viedo super h,Video Super H
382689,ek bar dogi jaan,Bhojpuri,28797.0,97065.0,0.0,0.0,0.0,34.0,1.0,ek bar dogi jaan,Once dies
382690,main likha hai kutte ka baccha dam ho to baat kar6287970582,Bhojpuri,29947.0,859359.0,0.0,2.0,0.0,165.0,1.0,main likha hai kutte ka baccha dam ho to baat kar,I have written a dog's child
382693,randi hai sali aise vido banati  sali randi eiska ghar bala bhi dikhta ho ,Bhojpuri,33944.0,765060.0,0.0,12.0,0.0,746.0,1.0,randi hai sali aise vido banati sali randi eiska ghar bala bhi dikhta ho,Randi is a sister-in-law.
382694,kiya bat hai  very nice ,Bhojpuri,3334.0,586788.0,0.0,0.0,0.0,115.0,0.0,kiya bat hai very nice,Talked about Vari Nice
382695,mera mobile number hai,Bhojpuri,4472.0,745503.0,0.0,0.0,1.0,29.0,0.0,mera mobile number hai,My mobile number
382696,randi ek bar deke dekh sari garmi thandi hojayegi,Bhojpuri,5670.0,330148.0,0.0,1.0,0.0,36.0,1.0,randi ek bar deke dekh sari garmi thandi hojayegi,Randi will see sari summer cold once
382698," ""tare maa the fudaa                  """,Bhojpuri,9665.0,640020.0,0.0,0.0,0.0,32.0,1.0,tare maa the fudaa,Fall in you
382699,ese sab kuchh dikh rha hai,Bhojpuri,10699.0,675801.0,0.0,1.0,0.0,52.0,1.0,ese sab kuchh dikh rha hai,Such everything is visible
382700,ram kumar ko chut degi,Bhojpuri,20600.0,84901.0,0.0,0.0,0.0,59.0,1.0,ram kumar ko chut degi,Ram Kumar will discount
382701,itna itna jawani ko jab chala do bola tumko chhod dega,Bhojpuri,28410.0,871213.0,0.0,3.0,0.0,235.0,1.0,itna itna jawani ko jab chala do bola tumko chhod dega,Will leave you so much when you walk
382702," ""xxx good morning                                                                    """,Bhojpuri,25039.0,102935.0,0.0,0.0,0.0,414.0,1.0,xxx good morning,xxx good morning
382703,bhosri ke jab bolne nahi aata to lar chatne ke lia bol raha hai,Bhojpuri,30052.0,616089.0,0.0,0.0,0.0,83.0,1.0,bhosri ke jab bolne nahi aata to lar chatne ke lia bol raha hai,"When he does not speak to Bhosari, he is speaking to laugh"
382706,kapda utaar kar darshan kara do teen log ka darshan ho jaega,Bhojpuri,1626.0,470334.0,0.0,0.0,0.0,88.0,1.0,kapda utaar kar darshan kara do teen log ka darshan ho jaega,Take off the clothes and see two people will be seen
382707,khan158md thnx,Bhojpuri,34790.0,782539.0,0.0,0.0,2.0,78.0,0.0,khanmd thnx,khanmd thnx
382708,madracod chutiya,Bhojpuri,25231.0,766909.0,0.0,0.0,0.0,406.0,1.0,madracod chutiya,Matherchod cheetia
382709,nice jodi aap ka ,Bhojpuri,10293.0,526706.0,0.0,0.0,1.0,72.0,0.0,nice jodi aap ka,Aid pair
382710,gondgolu183,Bhojpuri,34545.0,618138.0,0.0,2.0,1.0,72.0,0.0,gondgolu,Gondangolo
382711,hi support me bro sister please,Bhojpuri,21715.0,254588.0,0.0,1.0,0.0,891.0,0.0,hi support me bro sister please,hi support me bro sister please
382712,sabse bare madarchod ho sale log,Bhojpuri,19893.0,720427.0,0.0,1.0,0.0,86.0,1.0,sabse bare madarchod ho sale log,Largest mediocre cell people
382713,_anjel_219_ tq,Bhojpuri,21166.0,473459.0,0.0,0.0,2.0,38.0,0.0,anjel tq,Aniel she
382714,kutiyaa kamine,Bhojpuri,1257.0,330526.0,0.0,0.0,0.0,194.0,1.0,kutiyaa kamine,Bitch
382715,pagal log hai kya,Bhojpuri,19425.0,862015.0,0.0,1.0,0.0,89.0,1.0,pagal log hai kya,What are the mad people
382716,sarm karo sali,Bhojpuri,6626.0,456305.0,0.0,0.0,0.0,163.0,1.0,sarm karo sali,Shame
382717,teri nani ke gana cartoon randi wali,Bhojpuri,5231.0,570096.0,0.0,0.0,0.0,329.0,1.0,teri nani ke gana cartoon randi wali,Come to the cartoon of Teri Nani
382718,didi share kar diya ji,Bhojpuri,16422.0,365696.0,0.0,0.0,1.0,141.0,0.0,didi share kar diya ji,Sister shared
382721,tora bahin ke bur me land pelo,Bhojpuri,6702.0,766909.0,0.0,0.0,0.0,406.0,1.0,tora bahin ke bur me land pelo,Land Pello in Tora Sister
382723,chandan,Bhojpuri,25825.0,454099.0,0.0,1.0,1.0,316.0,0.0,chandan,Chandan
382724,dipak yadav ji,Bhojpuri,13397.0,1013777.0,0.0,0.0,1.0,64.0,0.0,dipak yadav ji,Deepak Yadav ji
382725,kachha khol ke nach bhosri,Bhojpuri,31996.0,570096.0,0.0,0.0,0.0,329.0,1.0,kachha khol ke nach bhosri,kachha khol ke nach bhosri
382728,hello nice super,Bhojpuri,11921.0,522431.0,0.0,0.0,0.0,50.0,0.0,hello nice super,hello nice super
382729,nice video babu,Bhojpuri,20619.0,224220.0,0.0,0.0,1.0,61.0,0.0,nice video babu,nice video babu
382730,rakha bhosdi ke,Bhojpuri,2575.0,585423.0,0.0,2.0,0.0,186.0,1.0,rakha bhosdi ke,Kept kept
382731,number hai call nahin lag raha hai dikhao call number phone karke dikhao,Bhojpuri,15214.0,930981.0,0.0,0.0,0.0,69.0,0.0,number hai call nahin lag raha hai dikhao call number phone karke dikhao,The number is not a call show show call number by phone
382732,sophia09 l love you,Bhojpuri,11234.0,618138.0,0.0,2.0,0.0,72.0,0.0,sophia l love you,sophia l love you
382734,suraj shukla se vate karo,Bhojpuri,19006.0,800274.0,0.0,1.0,0.0,38.0,0.0,suraj shukla se vate karo,Suraj Shukla
382735,sabse bakwas dancer,Bhojpuri,10624.0,147798.0,0.0,0.0,1.0,40.0,0.0,sabse bakwas dancer,Most nonsense dancer
382736,aap ladka ho yeya ladki,Bhojpuri,24503.0,940858.0,0.0,0.0,1.0,47.0,0.0,aap ladka ho yeya ladki,You are a girl
382737,boor dikhao re bhosdi,Bhojpuri,7457.0,288283.0,0.0,3.0,0.0,504.0,1.0,boor dikhao re bhosdi,Bad show ray bhosadi
382738,mukesh sahani,Bhojpuri,24737.0,629689.0,0.0,1.0,1.0,194.0,0.0,mukesh sahani,mukesh sahani
382740,tum log film me kam karo baki to chhod do hamlogon ke liye,Bhojpuri,10879.0,550589.0,0.0,0.0,0.0,83.0,0.0,tum log film me kam karo baki to chhod do hamlogon ke liye,You guys work in the movie then leave us for us
382742,pinki050 tq sis,Bhojpuri,21166.0,1066400.0,0.0,0.0,2.0,64.0,0.0,pinki tq sis,Pinky she with
382744,mera laura pehale se 200 ka note ke upper haldi dala tha bad me 100 pe dal ke dusra 200 wala dikhaya bhosdike chutia samajhta hai,Bhojpuri,2655.0,746634.0,0.0,1.0,0.0,243.0,1.0,mera laura pehale se ka note ke upper haldi dala tha bad me pe dal ke dusra wala dikhaya bhosdike chutia samajhta hai,"My Laura was already inserted with the extreme turmeric, later on the other side of the pulse"
382745,madar chod teri maka bhossada,Bhojpuri,1987.0,162959.0,0.0,2.0,0.0,161.0,1.0,madar chod teri maka bhossada,Leave Motherer Terrory Marka Bhous
382746,good,Bhojpuri,12636.0,141428.0,0.0,0.0,0.0,68.0,0.0,good,good
382747,bur me kira nhi land pri,Bhojpuri,4570.0,531419.0,0.0,0.0,0.0,30.0,1.0,bur me kira nhi land pri,Do not worry worm
382749,wow super video ji,Bhojpuri,16422.0,320440.0,0.0,0.0,1.0,175.0,0.0,wow super video ji,They super video.
