CommentId,commentText,language,user_index,post_index,report_count_comment,report_count_post,like_count_comment,like_count_post,label,commentCleaned,translated_value
203432,ada hai tum log video,English,55643.0,548678.0,0.0,1.0,0.0,186.0,0.0,ada hai tum log video,ada hai tum log video
203433,coll me,English,16515.0,372864.0,0.0,0.0,1.0,457.0,0.0,coll me,coll me
203434,mera naam s. say hi,English,44279.0,599.0,0.0,5.0,0.0,1971.0,0.0,mera naam s say hi,mera naam s say hi
203435,nice deyr,English,27306.0,67516.0,0.0,38.0,0.0,486.0,0.0,nice deyr,nice deyr
203436,are di sajan k ghar jana chhod diya hai kya ab,English,50649.0,111289.0,0.0,0.0,0.0,41.0,0.0,are di sajan k ghar jana chhod diya hai kya ab,are di sajan k ghar jana chhod diya hai kya ab
203437,ham logon ko pagal mat banao piche se hath chhod ke se pakad liye ham log pagal nahin hai,English,18813.0,229996.0,0.0,1.0,0.0,29.0,0.0,ham logon ko pagal mat banao piche se hath chhod ke se pakad liye ham log pagal nahin hai,ham logon ko pagal mat banao piche se hath chhod ke se pakad liye ham log pagal nahin hai
203438,han kamini haramzadi pagal ,English,75091.0,429825.0,0.0,0.0,0.0,51.0,1.0,han kamini haramzadi pagal,han kamini haramzadi pagal
203439,kaya baat h,English,63461.0,945889.0,0.0,0.0,0.0,89.0,0.0,kaya baat h,kaya baat h
203440,mera land krke aya,English,27411.0,895291.0,0.0,2.0,0.0,717.0,1.0,mera land krke aya,mera land krke aya
203441,nice,English,29952.0,182783.0,0.0,0.0,0.0,53.0,0.0,nice,nice
203442,pagal hat,English,107036.0,259880.0,0.0,2.0,0.0,195.0,1.0,pagal hat,pagal hat
203443,virnice,English,103367.0,830958.0,0.0,0.0,0.0,48.0,0.0,virnice,virnice
203445,50452703111 25 september,English,106096.0,576390.0,0.0,0.0,1.0,44.0,0.0,september,september
203446,gand dekhao,English,57441.0,935316.0,0.0,0.0,0.0,40.0,1.0,gand dekhao,gand dekhao
203447,gandi video mat banaya karo ap ne mammy papa ki kuch to iazzzat rakh,English,25278.0,952273.0,0.0,0.0,0.0,171.0,1.0,gandi video mat banaya karo ap ne mammy papa ki kuch to iazzzat rakh,gandi video mat banaya karo ap ne mammy papa ki kuch to iazzzat rakh
203448,i like your action,English,96183.0,195274.0,0.0,3.0,1.0,243.0,0.0,i like your action,i like your action
203449,i miss you siddharth abb sna ka kya hoga,English,50227.0,347428.0,0.0,0.0,52.0,657.0,0.0,i miss you siddharth abb sna ka kya hoga,i miss you siddharth abb sna ka kya hoga
203450,new rand,English,6424.0,376166.0,0.0,2.0,0.0,886.0,0.0,new rand,new rand
203451,so lovely yaar  beautiful hi  so super lovely video,English,67179.0,214956.0,0.0,0.0,1.0,54.0,0.0,so lovely yaar beautiful hi so super lovely video,so lovely yaar beautiful hi so super lovely video
203452,tum huna kuti,English,12780.0,741225.0,0.0,0.0,0.0,204.0,0.0,tum huna kuti,tum huna kuti
203453,wahhhh ji....wahhh .....tussi great ho ji.....,English,15612.0,937818.0,0.0,0.0,0.0,31.0,0.0,wahhhh jiwahhh tussi great ho ji,wahhhh jiwahhh tussi great ho ji
203454,11376985701  no all are handsome i purple u bts,English,108067.0,628965.0,0.0,1.0,4.0,225.0,0.0,no all are handsome i purple u bts,no all are handsome i purple u bts
203455,a ka pta he bhai or pe pta ,English,5354.0,294297.0,0.0,8.0,0.0,1216.0,0.0,a ka pta he bhai or pe pta,a ka pta he bhai or pe pta
203456,amanhussin707 custom krega,English,40606.0,870378.0,0.0,0.0,0.0,35.0,0.0,amanhussin custom krega,amanhussin custom krega
203457,apki bhi vedio share kar di hai mam,English,112587.0,12779.0,0.0,0.0,1.0,60.0,0.0,apki bhi vedio share kar di hai mam,apki bhi vedio share kar di hai mam
203458,hi tume girl frind,English,80552.0,658997.0,0.0,2.0,1.0,713.0,0.0,hi tume girl frind,hi tume girl frind
203459,kitne besharam hai ye log,English,108212.0,540566.0,0.0,0.0,0.0,100.0,1.0,kitne besharam hai ye log,kitne besharam hai ye log
203460,nice mam ,English,105691.0,50117.0,0.0,0.0,0.0,183.0,0.0,nice mam,nice mam
203461,sharm kar lo mummy ji kapde to palo ho rahe hain,English,113966.0,748786.0,0.0,51.0,0.0,11094.0,1.0,sharm kar lo mummy ji kapde to palo ho rahe hain,sharm kar lo mummy ji kapde to palo ho rahe hain
203462,wow  so  nice ,English,107299.0,67651.0,0.0,6.0,1.0,1706.0,0.0,wow so nice,wow so nice
203463,yo hai m gand mein ghosa denge free fire ka awm,English,5209.0,903499.0,0.0,1.0,0.0,776.0,1.0,yo hai m gand mein ghosa denge free fire ka awm,yo hai m gand mein ghosa denge free fire ka awm
203465,39613169001apni bahen ko bhi bej de ,English,94282.0,404921.0,0.0,0.0,0.0,115.0,1.0,apni bahen ko bhi bej de,apni bahen ko bhi bej de
203466,damn cute but afsos,English,52716.0,369991.0,0.0,1.0,0.0,540.0,0.0,damn cute but afsos,damn cute but afsos
203467,jay shree krishna ,English,104536.0,834749.0,0.0,0.0,0.0,448.0,0.0,jay shree krishna,jay shree krishna
203468,shruti my best friend,English,111109.0,547214.0,0.0,1.0,0.0,610.0,0.0,shruti my best friend,shruti my best friend
203469,sunny leone teri bahan ke sath bhi,English,109237.0,1011615.0,0.0,4.0,0.0,1001.0,1.0,sunny leone teri bahan ke sath bhi,sunny leone teri bahan ke sath bhi
203470,super  nice ,English,65177.0,612455.0,0.0,1.0,0.0,37.0,0.0,super nice,super nice
203471,super ,English,87138.0,310652.0,0.0,0.0,0.0,60.0,0.0,super,super
203472,which filter does u use,English,24740.0,534052.0,0.0,0.0,0.0,145.0,0.0,which filter does u use,which filter does u use
203473,ye followers and like chakkar me koi sharam naam ki cheez bachi hi nai ,English,12838.0,989880.0,0.0,7.0,0.0,3411.0,1.0,ye followers and like chakkar me koi sharam naam ki cheez bachi hi nai,ye followers and like chakkar me koi sharam naam ki cheez bachi hi nai
203474,aunty sharm kr lo thodi,English,99799.0,685838.0,0.0,2.0,0.0,649.0,0.0,aunty sharm kr lo thodi,aunty sharm kr lo thodi
203475,bht ache bhai,English,115401.0,444606.0,0.0,0.0,0.0,53.0,0.0,bht ache bhai,bht ache bhai
203476,kr416309 james ka bara ma kuch bole to socha lena saram nhi hai tera ko mera post pe comments mat karan samji,English,72240.0,33283.0,0.0,0.0,0.0,44.0,1.0,kr james ka bara ma kuch bole to socha lena saram nhi hai tera ko mera post pe comments mat karan samji,kr james ka bara ma kuch bole to socha lena saram nhi hai tera ko mera post pe comments mat karan samji
203477,mare niche lat fir dahk dahkka me marta hu,English,96379.0,184022.0,0.0,1.0,0.0,347.0,0.0,mare niche lat fir dahk dahkka me marta hu,mare niche lat fir dahk dahkka me marta hu
203478,my mom  birthday  is 18 september,English,23418.0,653876.0,0.0,0.0,0.0,123.0,0.0,my mom birthday is september,my mom birthday is september
203479,sharam nahi  hai,English,23265.0,647997.0,0.0,0.0,0.0,40.0,1.0,sharam nahi hai,sharam nahi hai
203482,beta to sasu maa ji hai na esliye,English,1634.0,201983.0,0.0,0.0,2.0,75.0,0.0,beta to sasu maa ji hai na esliye,beta to sasu maa ji hai na esliye
203483,cantik sih tapi sayang lontee,English,35669.0,957754.0,0.0,2.0,3.0,274.0,0.0,cantik sih tapi sayang lontee,cantik sih tapi sayang lontee
203484,faati saale or tez chala,English,19433.0,812300.0,0.0,1.0,0.0,751.0,1.0,faati saale or tez chala,faati saale or tez chala
203485," ""i am you big fan i am following youyou also follow me my id anandsasane007""",English,42474.0,447081.0,0.0,6.0,1.0,268.0,0.0,i am you big fan i am following youyou also follow me my id anandsasane,i am you big fan i am following youyou also follow me my id anandsasane
203486,sundar gal wali,English,69478.0,774936.0,0.0,2.0,0.0,39.0,0.0,sundar gal wali,sundar gal wali
203487,teri  gand me land,English,36349.0,406110.0,0.0,2.0,0.0,105.0,1.0,teri gand me land,teri gand me land
203488,what a gangster look i like it  rash,English,53472.0,792866.0,0.0,7.0,1.0,167.0,0.0,what a gangster look i like it rash,what a gangster look i like it rash
203489,71638410601 llll,English,71651.0,905858.0,0.0,4.0,1.0,754.0,0.0,llll,llll
203490,kutti kamini chudail,English,75622.0,694475.0,0.0,0.0,0.0,112.0,1.0,kutti kamini chudail,kutti kamini chudail
203491,kyo barbad kr rhe ho ghar walo ko kuch to sarm kr lo,English,9497.0,337383.0,0.0,36.0,0.0,8119.0,1.0,kyo barbad kr rhe ho ghar walo ko kuch to sarm kr lo,kyo barbad kr rhe ho ghar walo ko kuch to sarm kr lo
203492,safiuiksk hi 7319043518,English,32369.0,11983.0,0.0,0.0,1.0,212.0,0.0,safiuiksk hi,safiuiksk hi
203493,visit my profile atleast once please ,English,71323.0,615251.0,0.0,0.0,2.0,29.0,0.0,visit my profile atleast once please,visit my profile atleast once please
203495,bijendrasingh0558 thank you ji ,English,40362.0,530366.0,0.0,0.0,1.0,113.0,0.0,bijendrasingh thank you ji,bijendrasingh thank you ji
203496,good morning my all friends ,English,40362.0,246981.0,0.0,0.0,5.0,162.0,0.0,good morning my all friends,good morning my all friends
203497,jai mahakal bam bam bhole har har mahadev,English,59184.0,125379.0,0.0,0.0,0.0,41.0,0.0,jai mahakal bam bam bhole har har mahadev,jai mahakal bam bam bhole har har mahadev
203498,kutti apna nhi to us bache ka to khayal rakh use aaisi video dikhana or bolna  tu ek gande naali ki  paidaish hai  okk,English,32896.0,969340.0,0.0,12.0,0.0,1648.0,1.0,kutti apna nhi to us bache ka to khayal rakh use aaisi video dikhana or bolna tu ek gande naali ki paidaish hai okk,kutti apna nhi to us bache ka to khayal rakh use aaisi video dikhana or bolna tu ek gande naali ki paidaish hai okk
203499,madarchod h wo isliye likes k liye khudko bech degi iski yahi okad iske maa bap kaha yr,English,58609.0,398934.0,0.0,0.0,0.0,205.0,1.0,madarchod h wo isliye likes k liye khudko bech degi iski yahi okad iske maa bap kaha yr,madarchod h wo isliye likes k liye khudko bech degi iski yahi okad iske maa bap kaha yr
203500," ""shallugupta haa jaan mai dungi waqt aapne sath me lekin aapko mere sath rehna hogamujhe chor kar nhi jana aap """,English,44544.0,317376.0,0.0,0.0,1.0,30.0,0.0,shallugupta haa jaan mai dungi waqt aapne sath me lekin aapko mere sath rehna hogamujhe chor kar nhi jana aap,shallugupta haa jaan mai dungi waqt aapne sath me lekin aapko mere sath rehna hogamujhe chor kar nhi jana aap
203501,veey sed,English,64451.0,174604.0,0.0,1.0,0.0,198.0,0.0,veey sed,veey sed
203502,what,English,98037.0,349564.0,0.0,2.0,0.0,477.0,0.0,what,what
203503,72946422901  i love you,English,112449.0,942890.0,0.0,0.0,0.0,99.0,0.0,i love you,i love you
203504,besyaaaa b tujse achi hogi kuti mc,English,115037.0,198731.0,0.0,9.0,2.0,1199.0,1.0,besyaaaa b tujse achi hogi kuti mc,besyaaaa b tujse achi hogi kuti mc
203505,ek batt bolu aap se,English,85782.0,483035.0,0.0,0.0,2.0,36.0,0.0,ek batt bolu aap se,ek batt bolu aap se
203506,hi daling,English,4392.0,848846.0,0.0,1.0,0.0,136.0,0.0,hi daling,hi daling
203507,kookxbun7 nooooooo,English,99715.0,220134.0,0.0,0.0,1.0,45.0,0.0,kookxbun nooooooo,kookxbun nooooooo
203508,kya baat kru mai.,English,30740.0,621498.0,0.0,0.0,3.0,70.0,0.0,kya baat kru mai,kya baat kru mai
203510,ameen suma ameen ,English,54048.0,730294.0,0.0,0.0,1.0,187.0,0.0,ameen suma ameen,ameen suma ameen
203511,jagroop6227 ,English,52563.0,567539.0,0.0,0.0,0.0,157.0,0.0,jagroop,jagroop
203512,paglchooodiii ho ekdam say mn uuuu,English,97104.0,568359.0,0.0,0.0,0.0,691.0,1.0,paglchooodiii ho ekdam say mn uuuu,paglchooodiii ho ekdam say mn uuuu
203513,tell me the diet,English,19088.0,750479.0,0.0,1.0,0.0,96.0,0.0,tell me the diet,tell me the diet
203514,tumhare bacche nahin hai kya karti ho sab apne bache ke liye kam se kam acche se raho theek hai padha likha kar ushe bhi aise hi banaogi tumhari beti rahegi to,English,40489.0,953106.0,0.0,14.0,3.0,1336.0,0.0,tumhare bacche nahin hai kya karti ho sab apne bache ke liye kam se kam acche se raho theek hai padha likha kar ushe bhi aise hi banaogi tumhari beti rahegi to,tumhare bacche nahin hai kya karti ho sab apne bache ke liye kam se kam acche se raho theek hai padha likha kar ushe bhi aise hi banaogi tumhari beti rahegi to
203517,are you still alive after watching dis??,English,65665.0,260090.0,0.0,0.0,1.0,30.0,0.0,are you still alive after watching dis,are you still alive after watching dis
203518,me isko ulta thappad maar deta ye police bala koi hai bhosdi bala hai,English,78517.0,891784.0,0.0,27.0,0.0,4987.0,1.0,me isko ulta thappad maar deta ye police bala koi hai bhosdi bala hai,me isko ulta thappad maar deta ye police bala koi hai bhosdi bala hai
203519,nice,English,2146.0,889779.0,0.0,0.0,0.0,54.0,0.0,nice,nice
203520,teri ma ki chut sale yha to sab ulta ho raha hai,English,106219.0,498063.0,0.0,5.0,1.0,975.0,1.0,teri ma ki chut sale yha to sab ulta ho raha hai,teri ma ki chut sale yha to sab ulta ho raha hai
203521,teri surat se ab ronak chale gayi,English,87570.0,709461.0,0.0,4.0,2.0,2921.0,0.0,teri surat se ab ronak chale gayi,teri surat se ab ronak chale gayi
203522,to fir sad,English,1494.0,865780.0,0.0,0.0,1.0,48.0,0.0,to fir sad,to fir sad
203523,wow wonderfu video fentatsic jii,English,24997.0,153300.0,0.0,0.0,1.0,143.0,0.0,wow wonderfu video fentatsic jii,wow wonderfu video fentatsic jii
203524," ""bheekh maangna solution nahi haiganda kaam to bhikharino k saath bhi kar dete hain gande log...""",English,30019.0,536143.0,0.0,0.0,0.0,567.0,0.0,bheekh maangna solution nahi haiganda kaam to bhikharino k saath bhi kar dete hain gande log,bheekh maangna solution nahi haiganda kaam to bhikharino k saath bhi kar dete hain gande log
203525,gaand fate to fate parr pozisan naa ghate,English,46520.0,462738.0,0.0,145.0,0.0,1049.0,1.0,gaand fate to fate parr pozisan naa ghate,gaand fate to fate parr pozisan naa ghate
203526,gorgeous  beauty  nita baby,English,55488.0,803209.0,0.0,0.0,1.0,32.0,0.0,gorgeous beauty nita baby,gorgeous beauty nita baby
203527,mahadev ,English,20593.0,197846.0,0.0,0.0,1.0,126.0,0.0,mahadev,mahadev
