CommentId,commentText,language,user_index,post_index,report_count_comment,report_count_post,like_count_comment,like_count_post,label,commentCleaned,translated_value
286490,hai chinnu,Kannada,14026,138687,0,1,0.0,113.0,0.0,hai chinnu,Hiiiui
286491,iam manglore...ur so cuet cuiett,Kannada,31349,926706,0,0,0.0,175.0,0.0,iam mangloreur so cuet cuiett,Already mangloreur so cuiett
286492,nagu ninu,Kannada,35662,87717,0,1,0.0,103.0,0.0,nagu ninu,Smile you are
286493,nice figer anty,Kannada,12388,149792,0,0,0.0,108.0,0.0,nice figer anty,nice figer anty
286495,ninge ganda ididdre hingella adtha irlilla thu....nim anthavr indha bere hen makligu maryadhi kammmi agidhe..lofer muchkond nettuge batte hakond maadu,Kannada,5565,1017940,0,1,0.0,127.0,1.0,ninge ganda ididdre hingella adtha irlilla thunim anthavr indha bere hen makligu maryadhi kammmi agidhelofer muchkond nettuge batte hakond maadu,"Ning's husband is not hundreds of hundreds of hindr of Tunnim, Hemally Hemally Kanpher, Holor Council"
286496,super nice wow super ,Kannada,63282,559570,0,0,1.0,43.0,0.0,super nice wow super,super nice wow super
286497,yapa ,Kannada,35925,873003,0,2,0.0,52.0,0.0,yapa,meat
286500,baby name enu akka,Kannada,68234,488044,0,1,0.0,325.0,0.0,baby name enu akka,Baby names what hey
286501,hi,Kannada,24709,237895,0,1,0.0,86.0,0.0,hi,hi
286502,supar bindu gouda,Kannada,68187,391324,0,0,1.0,43.0,0.0,supar bindu gouda,Super point goa
286504, dubai,Kannada,32200,1012506,0,0,0.0,69.0,0.0,dubai,dubai
286505,i love you sorry,Kannada,47432,103046,0,1,0.0,74.0,0.0,i love you sorry,i love you sorry
286506,super but  domi,Kannada,53345,306691,0,0,0.0,417.0,1.0,super but domi,super but domi
286510,i love you viji,Kannada,52981,200181,0,0,1.0,147.0,0.0,i love you viji,i love you viji
