CommentId,commentText,language,user_index,post_index,report_count_comment,report_count_post,like_count_comment,like_count_post,label,commentCleaned,translated_value
3890,ta me ketoti puakhu chadichoki,Odia,1317,888387,0,1,0.0,280.0,1.0,ta me ketoti puakhu chadichoki,Ta Meters must be killed
3891,hiii,Odia,3907,804476,0,0,1.0,58.0,0.0,hiii,she
3892,wow masta acting ,Odia,12239,117864,0,0,1.0,42.0,0.0,wow masta acting,wow masta acting
3893,love you maa ,Odia,11234,332179,0,0,0.0,133.0,0.0,love you maa,love you maa
3894,nice kuti,Odia,18947,30793,0,0,0.0,27.0,1.0,nice kuti,Nice to
3895,pagal kari deucha ho,Odia,27683,112755,0,1,0.0,52.0,1.0,pagal kari deucha ho,Mad curry ho
3896," ""video super """,Odia,24597,902843,0,0,0.0,155.0,0.0,video super,video super
3897,marunu dokana kholiki basija dekheeabu,Odia,22951,642415,0,10,0.0,793.0,1.0,marunu dokana kholiki basija dekheeabu,Marunu dokana kholiki basija dekheabu
3899,16785677601 thik kahicha freind,Odia,27506,186014,0,2,0.0,76.0,0.0,thik kahicha freind,thik kahicha freind
3901,madurchud,Odia,4496,507971,0,0,0.0,51.0,1.0,madurchud,Madrarch
3902,beautiful  you,Odia,6939,539955,0,0,1.0,196.0,0.0,beautiful you,beautiful you
3903,cute baby ,Odia,5534,161049,0,0,1.0,58.0,0.0,cute baby,cute baby
3904,pooja sister tuma ghare kouti kahidehana,Odia,9684,242588,0,1,1.0,167.0,0.0,pooja sister tuma ghare kouti kahidehana,Pooja Sister You Hurricane
3907,anta.mota.heijauchhi,Odia,32791,390018,0,0,0.0,29.0,1.0,antamotaheijauchhi,in danger
3908,mast                                              ,Odia,22880,971099,0,0,0.0,47.0,0.0,mast,mast
3910,bhasa kahiki kahuchu re magia,Odia,7246,755990,0,1,0.0,260.0,1.0,bhasa kahiki kahuchu re magia,Bhasa Chat Sagia
3911,38304575801 taku dekhile jiabi kahiba gariba gandi mareita,Odia,9062,1005116,0,0,0.0,46.0,1.0,taku dekhile jiabi kahiba gariba gandi mareita,When Taku saw Ziobi Kohaiba Garyib Garab
3912,hii khaisariloni satakuha,Odia,15949,322655,0,0,0.0,32.0,0.0,hii khaisariloni satakuha,Hii Khaisarilona Kantakuha
3913,super my favorite,Odia,11673,654428,0,1,0.0,624.0,0.0,super my favorite,super my favorite
3914,gitanjalidey bia kn lekhicga,Odia,22224,193730,0,0,0.0,61.0,1.0,gitanjalidey bia kn lekhicga,Gitanjalday Bia Wrote
3915,hi baby ,Odia,5534,264281,0,0,1.0,43.0,0.0,hi baby,hi baby
3916,sala michhua,Odia,24278,45504,0,0,0.0,33.0,1.0,sala michhua,They prayed
3917,biuteful video super ,Odia,13391,651399,0,0,1.0,58.0,0.0,biuteful video super,beautiful video super
3918,call me 8260284845,Odia,20619,998347,0,0,1.0,40.0,0.0,call me,call me
3919,love you army. love you india,Odia,30946,541568,1,1,8.0,133.0,0.0,love you army love you india,love you army love you india
3920,i love you  maa,Odia,2813,49381,0,0,1.0,148.0,0.0,i love you maa,i love you maa
3921,kanducha kn pai,Odia,4397,245595,0,0,0.0,62.0,0.0,kanducha kn pai,See inspector
3923,bobal ackt,Odia,12249,322655,0,0,0.0,32.0,0.0,bobal ackt,bobal ackt
3924,oh satare cute ,Odia,15871,998347,0,0,1.0,40.0,0.0,oh satare cute,O: Shoots in Satur
3925,om namo sebay,Odia,9857,62133,0,1,0.0,40.0,0.0,om namo sebay,om you have had a sebay
3928,nadhiaheichi,Odia,24084,661366,0,0,1.0,60.0,0.0,nadhiaheichi,with deaheikoi
3929,hii how are you dost,Odia,26011,352760,0,0,1.0,114.0,0.0,hii how are you dost,hii how are you dost
3930,right sister salute u,Odia,26608,1085162,0,0,0.0,64.0,0.0,right sister salute u,right sister salute u
3931,hii,Odia,15337,453640,0,5,0.0,265.0,0.0,hii,this.
3932,so beautiful song ,Odia,1023,750893,0,0,2.0,300.0,0.0,so beautiful song,so beautiful song
3934,9337092504 call karo,Odia,4438,147539,0,0,0.0,48.0,0.0,call karo,Call
3935,mama,Odia,20265,626558,0,0,0.0,27.0,0.0,mama,mother
3936,number tike debu kaya re,Odia,32357,779192,0,0,0.0,111.0,0.0,number tike debu kaya re,Number Tike Dust Kaya Re
3937,good evening ,Odia,2456,213802,0,0,1.0,55.0,0.0,good evening,good evening
