CommentId,commentText,language,user_index,post_index,report_count_comment,report_count_post,like_count_comment,like_count_post,label,commentCleaned,translated_value
316359," ""samruddhiky aahe pagal""",Marathi,8425,356877,0,1,0.0,219.0,0.0,samruddhiky aahe pagal,Prosperity that hey mad
316361,",hi",Marathi,4931,1051921,0,1,0.0,54.0,0.0,hi,hi
316362,tu kurulya kesat cha chan distes,Marathi,24506,207624,0,0,3.0,44.0,0.0,tu kurulya kesat cha chan distes,tu kurulya kesat chap distes
316366,mkbhale says varicute  ,Marathi,15979,598722,0,0,1.0,154.0,0.0,mkbhale says varicute,mkbhale says varicute
316371,jadhavjyoti702 hello,Marathi,18831,256838,0,1,7.0,113.0,0.0,jadhavjyoti hello,jadhavjyoti hello
316373,veri nice ,Marathi,15753,692391,0,1,0.0,106.0,0.0,veri nice,Data is Nice
316374,naked  ,Marathi,17870,781271,0,1,0.0,104.0,1.0,naked,naked
316375,samiksha ase kunsla hinavu nkos,Marathi,14289,877019,0,0,0.0,61.0,0.0,samiksha ase kunsla hinavu nkos,Review assignment
316376,beutiful ,Marathi,2309,67891,0,0,1.0,73.0,0.0,beutiful,beutiful
316379,aarti,Marathi,19704,819499,0,1,1.0,99.0,0.0,aarti,aarti
316382,instgram id,Marathi,6591,874251,0,0,1.0,41.0,0.0,instgram id,ID INSTGRAM
316383,khupch nice madam,Marathi,5134,362850,0,0,0.0,73.0,0.0,khupch nice madam,khupch nice madam
316384, pucchi,Marathi,23186,394496,0,0,0.0,1039.0,1.0,pucchi,Asked
316387,gand hay ka st stand,Marathi,17441,669161,0,0,0.0,36.0,1.0,gand hay ka st stand,gand hay ka stand
316388,i love u please call me 9022690413,Marathi,12804,553882,0,0,3.0,32.0,0.0,i love u please call me,i love u please call me
316389,nurse ahe,Marathi,20535,589144,0,0,1.0,44.0,0.0,nurse ahe,nurse age
316390,tu lal bhari,Marathi,2473,449931,0,2,0.0,109.0,0.0,tu lal bhari,Tu Lal Bhari
316391,laj vadat ny ka g asha muraka sarakhy nachata kutarya,Marathi,25384,116292,0,0,0.0,135.0,1.0,laj vadat ny ka g asha muraka sarakhy nachata kutarya,Lajea daughter
316392,lavdya tu video banavat ki majak kart be,Marathi,18420,452290,0,0,0.0,124.0,1.0,lavdya tu video banavat ki majak kart be,Lavdya
316394,19385595401 khatori marunga itna toot jayega tera moti ke,Marathi,13766,267241,0,0,0.0,76.0,0.0,khatori marunga itna toot jayega tera moti ke,Will be broken so much that your pearl will be broken
316395,bbaccao474 thanks,Marathi,15815,306675,0,0,0.0,92.0,0.0,bbaccao thanks,bbaccao thanks
316396,i like u sorry dede,Marathi,8729,619396,0,0,0.0,36.0,0.0,i like u sorry dede,i like u sorry dede
316397,tuzya mule kiti mulich nav kharab zal g kutre nalayek pana sod aai bapa chi ijjat bg g kutre nalayek kuthli ,Marathi,7092,448403,0,0,0.0,280.0,1.0,tuzya mule kiti mulich nav kharab zal g kutre nalayek pana sod aai bapa chi ijjat bg g kutre nalayek kuthli,tuzya mule kiti mulich nav kharab zal g kutre nalayek paa sod aai bapa chi ijjat bg k kutre nalayek kuthli
316403,saral porn karat ja,Marathi,15771,787204,0,1,0.0,151.0,1.0,saral porn karat ja,Saral porn karat ja
316404," tu mera babu, me teri shona, darta kyu hai pagal, tuzko to kisi aur ka hai hona",Marathi,18759,286588,0,0,0.0,36.0,0.0,tu mera babu me teri shona darta kyu hai pagal tuzko to kisi aur ka hai hona,Why do you scare your blessings in my babu?
316406,love marriage karanaryano  chutya aahes tumhi....,Marathi,2451,432353,0,1,0.0,72.0,1.0,love marriage karanaryano chutya aahes tumhi,love marriaage karanaryano chuutya aahes tumhi
316407,call me 9527369720,Marathi,515,748656,0,0,3.0,29.0,0.0,call me,call me
316408,csk  chu sale. 5 vela jinkle mhnun jalta kay ghantya,Marathi,22062,262983,0,0,0.0,58.0,1.0,csk chu sale vela jinkle mhnun jalta kay ghantya,Csk chu sale vela jinkle mhnun jalta kay ghanantya
316409,tila aata kutra hava aahe,Marathi,9521,527993,0,0,0.0,139.0,1.0,tila aata kutra hava aahe,Tila Aata Kutra Hava Aahe
316410,bhau no problm lawkr bra hooo....,Marathi,15747,1033621,0,0,0.0,30.0,1.0,bhau no problm lawkr bra hooo,bhau no problm lawkr Bra Hooo
316411,arohi ass ka g ,Marathi,3750,486652,0,0,2.0,67.0,0.0,arohi ass ka g,Ass Ass then g
316415,chaddi kali ahe,Marathi,10584,502360,0,0,0.0,74.0,1.0,chaddi kali ahe,CHADDI KALI AHE
316416,ye ja chuthya kutree lag j vatthye ka tula thuchya sarkhya muli mule lahan kut mulina bali jave lagthye foan madhye ghusun thula marvs vathat lavdhi,Marathi,3063,589469,0,3,0.0,1146.0,1.0,ye ja chuthya kutree lag j vatthye ka tula thuchya sarkhya muli mule lahan kut mulina bali jave lagthye foan madhye ghusun thula marvs vathat lavdhi,ye ja chauthya kutree lag j vatthye ka tula thuchye thuchya muli mule kut mulina bali jave lagthye foan madhye ghusun thull marvs vathat lavhi
316417,chut ki bhi opan karo,Marathi,3957,891780,0,0,0.0,50.0,1.0,chut ki bhi opan karo,Open the discount
316418,"are deva aata tayche kahi kar nahi dokecha udvinar,pn aata kunache doke lavinar ,,",Marathi,21255,484970,0,3,0.0,122.0,0.0,are deva aata tayche kahi kar nahi dokecha udvinarpn aata kunache doke lavinar,Are Deva Aata Tayche kahi kar nahi dokecha udvinarpn aata kunache doke lavinar
316419,sry  ny  yevdha kas baki video nice ,Marathi,24553,128909,0,0,3.0,50.0,0.0,sry ny yevdha kas baki video nice,sry ny yevdha kas baki video nice
316421,atta sapadla original vidio besht,Marathi,8676,359604,0,0,1.0,50.0,0.0,atta sapadla original vidio besht,Articles Original Vidio Sea
316422,rutuja bhosale gm,Marathi,6756,524110,0,7,0.0,1603.0,0.0,rutuja bhosale gm,rutuja bhosale gm
316423,agdi mana pasun dance kela karan cheheryavar bhavna lagech umantat,Marathi,23700,845219,0,1,0.0,272.0,0.0,agdi mana pasun dance kela karan cheheryavar bhavna lagech umantat,Agdi Mana Pasun Dance Kela Karan Cheheryavar Bhavna Laegech Umantat
316425,"jya shetkari cha shetat padla, tyala yacha kay upyog nahi honar.. aata to sarkari tijorit jama honar, aani sagle chor chatun pusun khanar..",Marathi,5388,682621,0,0,0.0,342.0,0.0,jya shetkari cha shetat padla tyala yacha kay upyog nahi honar aata to sarkari tijorit jama honar aani sagle chor chatun pusun khanar,Jya shetkari chal shetat padla tyala yacha kay uupyog nahi honar aata toa sagle chor chapun pusun khanar
316426,orange sadi vali,Marathi,16203,1046471,0,0,0.0,52.0,0.0,orange sadi vali,Orange sari
316427,this video is very nice and very nice act keep at up asech changlya gaanyavar video banvat  ja ,Marathi,23638,923438,0,0,1.0,35.0,0.0,this video is very nice and very nice act keep at up asech changlya gaanyavar video banvat ja,This video is very nice and very nice act keyp at up andech changlya gaanyavar video banvat ja
316429,wow so sweet song super super super good night so sister ,Marathi,15753,875945,0,0,1.0,248.0,0.0,wow so sweet song super super super good night so sister,wow so sweet song super super super good night so sister
316432,kutiya ka kala ka paper,Marathi,2692,330739,0,1,0.0,515.0,1.0,kutiya ka kala ka paper,Paper of bitch
316433,tere ma baap kuch nhi kahte tujhe pagal ki moot kahi jaake doob mar abe tu,Marathi,14639,424575,0,0,1.0,44.0,1.0,tere ma baap kuch nhi kahte tujhe pagal ki moot kahi jaake doob mar abe tu,Your parents do not say anything to you.
316435,ek no rashi ji,Marathi,13327,1050735,0,8,2.0,201.0,0.0,ek no rashi ji,A no nation
316437,high tension wire aahet dapodi wale,Marathi,4928,591922,0,0,0.0,39.0,0.0,high tension wire aahet dapodi wale,high tension wire aahet dapti wale
316438,   hai yk pagl jise hai meri jindgi,Marathi,23344,39910,0,0,1.0,27.0,0.0,hai yk pagl jise hai meri jindgi,Is a madman who is my life
316440,namrata ravi lokhada ho na namrata,Marathi,4090,845677,0,3,0.0,74.0,0.0,namrata ravi lokhada ho na namrata,Namarata Ravi Lokhada No Namarata
316443,are our do mat bolaw mi ek hi do ke baraber hu teri chudai ke liy,Marathi,483,613460,0,1,0.0,53.0,1.0,are our do mat bolaw mi ek hi do ke baraber hu teri chudai ke liy,Hey here do not say that I am equal to one two for your fuck
316446,bhok distoy,Marathi,17145,419117,0,1,0.0,570.0,1.0,bhok distoy,Bhok Distoy
316449,ag  tu acatoin  chan kartes,Marathi,19411,438091,0,0,0.0,33.0,0.0,ag tu acatoin chan kartes,You are uncomfortable
316450,iya lav yu,Marathi,16287,768950,0,0,1.0,30.0,0.0,iya lav yu,Ruin Love U
316451,",:-d",Marathi,15103,267241,0,0,0.0,76.0,0.0,d,d
316452,link babe you have hi op,Marathi,12831,846382,0,21,1.0,532.0,0.0,link babe you have hi op,link babe you have hi op
316454,ek dum mast beautiful pics ,Marathi,3936,727634,0,0,8.0,120.0,0.0,ek dum mast beautiful pics,ek dum mast beautiful pics
316455,prem karnara pn kushan sarkha bhela pahije..... nahi tar aapn roj jase kapde badlato tse muli nahi badlay pahije mg tela kharch premach naw dilela jaeila fkt krushn sarkh prem karnara pahij ,Marathi,19572,695700,0,1,2.0,329.0,0.0,prem karnara pn kushan sarkha bhela pahije nahi tar aapn roj jase kapde badlato tse muli nahi badlay pahije mg tela kharch premach naw dilela jaeila fkt krushn sarkh prem karnara pahij,Prem karnara pn kushan sarkha bhela pahije nahi tar Aapn roj jase kaplato tse muli nahi badlay pahije mg tse muli nahi badlay pahije mg tse muli nahi badlay pahije mg tse muli nahi badlay;
316457,"chutiye,,,, faltu ki bakwasbaji  mt kr,,,,, smj aayi,,, varna sale pela dunga",Marathi,18064,27140,0,2,0.0,138.0,1.0,chutiye faltu ki bakwasbaji mt kr smj aayi varna sale pela dunga,Do not worry about the pussy
316458,teri hand me lavada dalneka hai call me 9552165510,Marathi,25617,11020,0,0,0.0,50.0,1.0,teri hand me lavada dalneka hai call me,Lawde is in your heart
316461,. prdrshn karte,Marathi,14716,893517,0,8,0.0,2676.0,1.0,prdrshn karte,Display
316463,fashi shivay paryay nahi..naradham sale,Marathi,6810,8292,0,1,0.0,295.0,1.0,fashi shivay paryay nahinaradham sale,Fashi Shivay Paryay Nahinaradham Sale
316464,congratulations ,Marathi,11931,803128,0,0,0.0,94.0,0.0,congratulations,congratulations
316465,so much  dear,Marathi,24250,1048390,0,0,0.0,56.0,0.0,so much dear,so much dear
316466,sompatil8822 ky nasat jhale jhattu,Marathi,3143,715280,0,2,0.0,90.0,0.0,sompatil ky nasat jhale jhattu,sompatil ky nasat jhale jhattu
316467,so cut,Marathi,879,33669,0,0,0.0,30.0,0.0,so cut,so cut
316468,tu gharcha khup shrimant ahes nahi ka ani ho babasaheban javl ghar nhavte pn tyanchy mul aj  sarvanna hakkane jagta yet ahe ani rajgruh mahit asnarch tula,Marathi,5485,245995,0,0,0.0,31.0,0.0,tu gharcha khup shrimant ahes nahi ka ani ho babasaheban javl ghar nhavte pn tyanchy mul aj sarvanna hakkane jagta yet ahe ani rajgruh mahit asnarch tula,tu gharcha khup shrimant ahes nahi ka ani ho babasahebebebahebebahebebahebebaheb Javl ghar nf sarvanna haakkane jagta yet ahe ani rajgruh mahit asnarch tula
316470,vilaswaykole85 thanks,Marathi,15815,306675,0,0,0.0,92.0,0.0,vilaswaykole thanks,vilaswaykole thanks
316473,a gp,Marathi,7425,249323,0,0,0.0,30.0,0.0,a gp,a gp
