CommentId,commentText,language,user_index,post_index,report_count_comment,report_count_post,like_count_comment,like_count_post,label,commentCleaned,translated_value
3,krishnatripathi4578 jesi ghar ki sabhyata vaise sanskar,Rajasthani,889,352919,0,1,1.0,285.0,0.0,krishnatripathi jesi ghar ki sabhyata vaise sanskar,Civilization of the house like Krishna Tripathi
10,angolina0001 hi,Rajasthani,4369,1052523,0,3,0.0,266.0,0.0,angolina hi,Angolina Hi
11,khud k hato me khud ki ijjat udati h aur jab ldke hath bhi lga de glti se to gussa aata h kbhi ldko k ese video deke h kutti kamini,Rajasthani,1098,638525,0,2,0.0,98.0,1.0,khud k hato me khud ki ijjat udati h aur jab ldke hath bhi lga de glti se to gussa aata h kbhi ldko k ese video deke h kutti kamini,"Move themselves in my own respect and when the boys also put their hands, they are angry, sometimes they have seen such videos"
13,jatha sala nakhli he,Rajasthani,351,1042311,0,0,0.0,47.0,1.0,jatha sala nakhli he,The body prayed
19,tftttyv tcttttw mibr00,Rajasthani,2899,869567,0,1,1.0,50.0,0.0,tftttyv tcttttw mibr,tftttyv tcttttw mibr
27,boba mast h,Rajasthani,3551,623348,0,0,0.0,31.0,1.0,boba mast h,boba mast h
28,gandi soch nhi rkna kute kiya bola re,Rajasthani,1164,981573,0,0,0.0,149.0,1.0,gandi soch nhi rkna kute kiya bola re,Do not think of dirty thinking
34,very nice jiiiiii,Rajasthani,4459,318870,0,0,1.0,62.0,0.0,very nice jiiiiii,very nice jiiiiii
41,call me please  janu,Rajasthani,58,106320,0,10,3.0,2990.0,0.0,call me please janu,call me please janu
44,jay baba ramdev ki jay,Rajasthani,254,925495,0,0,0.0,122.0,0.0,jay baba ramdev ki jay,The father goes what goes Ramdev
48,besaram,Rajasthani,1666,451578,0,6,0.0,635.0,1.0,besaram,Helm
51,rajni8479 i love it,Rajasthani,1142,1014336,0,0,0.0,35.0,0.0,rajni i love it,rajni i love it
54,jay ho ease bhkt ki,Rajasthani,5077,650655,0,1,0.0,95.0,0.0,jay ho ease bhkt ki,Jai ho such a divoted
57,aap teacher aur madam,Rajasthani,1676,615999,0,0,1.0,40.0,0.0,aap teacher aur madam,You teacher and madam
58,7230879206hi,Rajasthani,681,536533,0,0,1.0,32.0,0.0,hi,hi
64,bhut  aacha hai,Rajasthani,3489,878489,0,0,0.0,34.0,0.0,bhut aacha hai,Have a lot
71,jay baba ram sa peer,Rajasthani,1048,925495,0,0,0.0,122.0,0.0,jay baba ram sa peer,Goes father RAM Peer
73,saxy dance,Rajasthani,231,1021451,0,1,0.0,96.0,0.0,saxy dance,saxy dance
74,super cute jiiiiiiii,Rajasthani,4459,540399,0,0,0.0,228.0,0.0,super cute jiiiiiiii,super cute jiiiiiiii
77," ""46mukeshsinghsolanki46facebook magic jaaye""",Rajasthani,3798,506760,0,375,0.0,28586.0,0.0,mukeshsinghsolankifacebook magic jaaye,Mukeshasingasolchaffsbuk Magic
80,jai baba re sa,Rajasthani,3077,925495,0,0,0.0,122.0,0.0,jai baba re sa,Daddy
81,9415075982)ilove,Rajasthani,5082,677938,0,0,5.0,33.0,0.0,ilove,ilove.
86,soi,Rajasthani,4926,928279,0,0,1.0,144.0,0.0,soi,self
87,tumate ko chodene wala bhi dhene hai mha aata hoga us ko,Rajasthani,5013,372085,0,0,0.0,212.0,1.0,tumate ko chodene wala bhi dhene hai mha aata hoga us ko,You have to be afraid to fuck
89,phle.kapde.ascsa.karo,Rajasthani,1935,623348,0,0,0.0,31.0,1.0,phlekapdeascsakaro,Painx
91,good afternoon jiiiiii  cute di,Rajasthani,4248,925797,0,0,1.0,243.0,0.0,good afternoon jiiiiii cute di,good afternoon jiiiiii cute di
93,land ghalava le,Rajasthani,645,363162,0,0,0.0,139.0,1.0,land ghalava le,Land Ghalava Le
100,aap comment kar dena fir m delete kar dunga,Rajasthani,232,1047039,0,1,1.0,211.0,0.0,aap comment kar dena fir m delete kar dunga,I'll comment again and will delete
102,hello baby good morning,Rajasthani,3270,315699,0,0,1.0,31.0,0.0,hello baby good morning,hello baby good morning
