CommentId,commentText,language,user_index,post_index,report_count_comment,report_count_post,like_count_comment,like_count_post,label,commentCleaned,translated_value
2,apni pant utar kar apni chut bhi to bata do madam ji kitni gori hogi,Urdu,1205,17327,0,1,0.0,731.0,1.0,apni pant utar kar apni chut bhi to bata do madam ji kitni gori hogi,"Take your pants and tell your pussy too, how much Madam ji will be"
4,is randi ko dusra kaam nahi hai kuttiya kahin ki,Urdu,372,261223,0,0,0.0,453.0,1.0,is randi ko dusra kaam nahi hai kuttiya kahin ki,This rubbish is not the second job
9,chinaal raand,Urdu,2051,597836,0,0,0.0,262.0,1.0,chinaal raand,Chhinal Rand
14,sorry mei ny yeh sab krny ka soch liya tha per kisi ny us din akely hi nhi hony diya mujhy aur apki kasim nhi tori mei ny i am sorry per esa kuch nhi kiya mei ny,Urdu,266,303762,0,0,2.0,4413.0,0.0,sorry mei ny yeh sab krny ka soch liya tha per kisi ny us din akely hi nhi hony diya mujhy aur apki kasim nhi tori mei ny i am sorry per esa kuch nhi kiya mei ny,sorry mei ny yeh sab kisi ka soch liya tha per kisi ny din akely hi ni hony diya mujhy aur apki kasim nhi tori mei ny i am sorry per esa kuch nhi kiya mei ny
15,viajagtap834 sorry kyu,Urdu,266,303762,0,0,2.0,4413.0,0.0,viajagtap sorry kyu,Via Games G Other P Sot Ry Cu
17,devnarayankoley81 hii,Urdu,608,497914,0,2,0.0,337.0,0.0,devnarayankoley hii,Devanarayanakaleay
23,viajagtap834 i love you too,Urdu,266,303762,0,0,2.0,4413.0,0.0,viajagtap i love you too,viajagtap i love you too
25,very very nice this is video rashi ,Urdu,2451,509933,0,17,6.0,736.0,0.0,very very nice this is video rashi,very very nice this is video rashi
26,94934723301 mei ny nhi ki thi call kisi aur sy krwai thi,Urdu,244,303762,0,0,2.0,4413.0,0.0,mei ny nhi ki thi call kisi aur sy krwai thi,I did not have a new call
29,amazing so good ,Urdu,991,599169,0,0,0.0,65.0,0.0,amazing so good,amazing so good
31,langa nach ke nach de madarchod randi,Urdu,860,78971,0,2,0.0,339.0,1.0,langa nach ke nach de madarchod randi,Langa dance dancing
35,thoooooo berwasee rand,Urdu,1023,373648,0,0,0.0,187.0,1.0,thoooooo berwasee rand,Thoooooo Berwasee Rand
36,viajagtap834 sorry jaan,Urdu,266,303762,0,0,2.0,4413.0,0.0,viajagtap sorry jaan,Sorry Jaan viajagtap
37,i love  you tomeri jaan ,Urdu,1335,343182,0,10,1.0,2990.0,0.0,i love you tomeri jaan,I Love You Tomeri Jaan
38," ""re kutte gandu delete kar rebesharam sale suwwar ki aulad""",Urdu,2118,13423,0,0,0.0,163.0,1.0,re kutte gandu delete kar rebesharam sale suwwar ki aulad,Ray Dog Gandu Deleted by Rebesum Cell Suvar
40,swapnajanaji ,Urdu,266,873817,0,0,1.0,307.0,0.0,swapnajanaji,Swapnajjanji
42,sharam  aare  budy  tere  ko  molana  hai  hai  tu  suvar  hai  tu  maaki  chut  tere  ,Urdu,1684,864985,0,0,0.0,37.0,1.0,sharam aare budy tere ko molana hai hai tu suvar hai tu maaki chut tere,Shame you have to grieve
45,i love  you ,Urdu,368,73893,0,0,2.0,31.0,0.0,i love you,i love you
46,assalamalikum inshallah zarur,Urdu,139,978387,0,0,1.0,42.0,0.0,assalamalikum inshallah zarur,Peace be upon you
47,jitenderjagtap abhi nhi yar jab apky pass apna mobile ajayega tab dakh lana,Urdu,327,303762,0,0,2.0,4413.0,0.0,jitenderjagtap abhi nhi yar jab apky pass apna mobile ajayega tab dakh lana,If you do not see your mobile
49,jitenderjagtap per mei ny toh apko dakha ha na fir kis baat ki sharm,Urdu,327,303762,0,0,2.0,4413.0,1.0,jitenderjagtap per mei ny toh apko dakha ha na fir kis baat ki sharm,If you have seen a new one in the foot
52,so fantastic .your are best show. move on.god bless to you..,Urdu,1214,940427,0,0,0.0,27.0,0.0,so fantastic your are best show move ongod bless to you,so fantastic your are best show move ongod bless to you
55,i really like you and love you,Urdu,906,343182,0,10,0.0,2990.0,0.0,i really like you and love you,i really like you and love you
59,jitenderjagtap haa jaan,Urdu,327,303762,0,0,2.0,4413.0,0.0,jitenderjagtap haa jaan,Jaan
68,jitenderjagtap lakin yar mujhy apky papa ka number chahiya mary pass extra number hona chahiya yar kbi zarorat parh skti ha,Urdu,327,303762,0,0,2.0,4413.0,0.0,jitenderjagtap lakin yar mujhy apky papa ka number chahiya mary pass extra number hona chahiya yar kbi zarorat parh skti ha,Jitendrajagat Pahin Mei Your Papa's Number Mary should have a lot of extras.
69,"love you tu, ",Urdu,798,848341,0,0,0.0,43.0,0.0,love you tu,love you tu
72,tumara size kya hi bra ka,Urdu,1426,78971,0,2,0.0,339.0,1.0,tumara size kya hi bra ka,What is your size
78,ap mobile kab lo gi wapis btao plzz,Urdu,266,303762,0,0,2.0,4413.0,0.0,ap mobile kab lo gi wapis btao plzz,"When you get mobile, tell me"
79,inshallah jarur,Urdu,1473,414283,0,0,1.0,407.0,0.0,inshallah jarur,Inshalh Gerry
83,masha alla,Urdu,1458,321710,0,2,1.0,37.0,0.0,masha alla,Masha is not
85,nicenicenice,Urdu,2192,728440,0,0,2.0,29.0,0.0,nicenicenice,nicenicenice
94,jitenderjagtap ap naraz ho na,Urdu,327,303762,0,0,2.0,4413.0,0.0,jitenderjagtap ap naraz ho na,Do not get angry with you
95,inkasattenasoo,Urdu,2553,361628,0,0,0.0,73.0,0.0,inkasattenasoo,Inkasattenasoo
96,full hai gulab ka nasha h sharab ka chuchi to dikh rahi hai kiya faeda h poshaq ka,Urdu,1836,752238,0,0,0.0,138.0,1.0,full hai gulab ka nasha h sharab ka chuchi to dikh rahi hai kiya faeda h poshaq ka,Full Rose's intoxication: Alcohol is seeing that fame
